Identifies the type of dwelling involved in the sale,Identifies the general zoning classification of the sale,Linear feet of street connected to the property,Lot size in square feet,Type of road access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Proximity to various conditions if more than one is present,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date same as construction date if no remodeling or additions,Type of roof,Roof material,Exterior covering on the house,Exterior covering on house if more than one material,Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area if multiple types,Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second floor square feet,Low quality finished square feet all floors,Above grade ground living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half baths above grade,Bedrooms above grade does not include basement bedrooms,Kitchens above grade,Kitchen Quality,Total rooms above grade does not include bathrooms,Home functionality Assume typical unless deductions are warranted,Number of fireplaces,Fireplace quality,Garage location,The year garage was built,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Pool area in square feet,Value of miscellaneous feature,Month Sold,Year Sold,Type of sale,Condition of sale,Sale price
160,Floating Village Residential,0,2117,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Somerset,Normal,Normal,Townhouse End Unit,Two-story,6,5,2000,2000,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,513,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,420,Unfinished,0,336,756,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,756,756,0,1512,0,0,2,1,2,1,Good,4,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,2000,Unfinished,2,440,Average/Typical,Average/Typical,Paved,0,32,0,0,0,6,2007,Warranty Deed-Conventional,Normal Sale,168500
60,Residential Low-Density,80,10400,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Northwest Ames,Normal,Normal,Single-family Detached,Two-story,6,5,1972,1972,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,288,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Average Rec Room,247,Unfinished,0,485,732,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1012,778,0,1790,1,0,1,2,4,1,Average/Typical,8,Minor Deductions 2,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1972,Rough Finished,2,484,Average/Typical,Average/Typical,Paved,148,0,0,0,0,11,2006,Warranty Deed-Conventional,Normal Sale,165150
20,Residential Low-Density,87,10000,Paved,Slightly irregular,Level,All public Utilities,Corner lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,6,6,1962,1962,Hip,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Face,261,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1116,1116,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1116,0,0,1116,0,0,1,1,3,1,Average/Typical,5,Typical Functionality,0,No,Attached to the home,1962,Unfinished,2,440,Average/Typical,Average/Typical,Paved,0,0,0,0,0,2,2010,Warranty Deed-Conventional,Normal Sale,160000
20,Residential Low-Density,0,12342,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,5,5,1960,1978,Hip,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,978,978,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1422,0,0,1422,0,0,1,0,3,1,Average/Typical,6,Minor Deductions 1,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1960,Rough Finished,1,286,Average/Typical,Average/Typical,Paved,0,0,36,0,600,8,2007,Warranty Deed-Conventional,Normal Sale,139900
80,Residential Low-Density,80,9600,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,Split Level,6,6,1955,1972,Gable,Standard (Composite) Shingle,Asbestos Shingles,Asbestos Shingles,Brick Face,164,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,Average Exposure,Below Average Living Quarters,674,Low Quality,132,350,1156,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1520,0,0,1520,1,0,1,0,3,1,Average/Typical,7,Typical Functionality,2,Good-Masonry Fireplace on the main level,Basement Garage,1955,Rough Finished,1,364,Average/Typical,Average/Typical,Paved,0,0,189,0,0,3,2010,Warranty Deed-Conventional,Normal Sale,153000
60,Residential Low-Density,70,11606,Paved,Slightly irregular,Hillside,All public Utilities,Inside lot,Severe Slope,NAmes,Normal,Normal,Single-family Detached,Two-story,5,5,1969,1969,Gable,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,192,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,Average Exposure,Average Rec Room,650,Unfinished,0,390,1040,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1040,1040,0,2080,0,1,1,2,5,1,Fair,9,Typical Functionality,2,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1969,Unfinished,2,504,Average/Typical,Average/Typical,Paved,335,0,0,0,0,9,2007,Warranty Deed-Conventional,Sale between family members,135000
80,Residential Low-Density,82,9020,Paved,Regular,Level,All public Utilities,Corner lot,Gentle slope,NAmes,Adjacent to feeder street,Normal,Single-family Detached,Split Level,6,5,1964,1964,Gable,Wood Shingles,Plywood,Wood Siding,Brick Face,259,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,Good Exposure,Good Living Quarters,624,Average Rec Room,336,288,1248,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1350,0,0,1350,1,0,1,1,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,1964,Rough Finished,2,520,Average/Typical,Average/Typical,Paved,176,0,0,0,0,6,2008,Warranty Deed-Conventional,Normal Sale,168500
70,Residential Medium Density,50,9000,Paved,Regular,Level,All public Utilities,Corner lot,Gentle slope,Old Town,Adjacent to arterial street,Normal,Single-family Detached,Two-story,5,6,1880,1991,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Average/Typical,Average/Typical,Brick & Tile,Fair (70-79 inches),Fair-dampness or some cracking or settling,No Exposure,Unfinished,0,Unfinished,0,636,636,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1089,661,0,1750,0,0,1,0,3,1,Excellent,8,Typical Functionality,0,No,Detached from home,1937,Unfinished,1,240,Fair,Poor,Dirt/Gravel,0,0,293,0,0,6,2006,Warranty Deed-Conventional,"Abnormal Sale-trade, foreclosure, short sale",124000
120,Residential Low-Density,34,4590,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Twnhs,One story,8,5,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,108,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Good,Mimimum Exposure,Good Living Quarters,24,Unfinished,0,1530,1554,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1554,0,0,1554,0,0,2,0,2,1,Good,6,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2006,Rough Finished,2,627,Average/Typical,Average/Typical,Paved,156,73,0,0,0,8,2007,Warranty Deed-Conventional,Normal Sale,209500
20,Residential Low-Density,85,11900,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Northwest Ames,Normal,Normal,Single-family Detached,One story,7,5,1977,1977,Hip,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,209,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Average Living Quarters,822,Unfinished,0,564,1386,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1411,0,0,1411,0,0,2,0,3,1,Average/Typical,6,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1977,Finished,2,544,Average/Typical,Average/Typical,Paved,192,0,0,0,0,4,2009,Warranty Deed-Conventional,Sale between family members,82500
20,Residential Low-Density,80,9250,Paved,Regular,Level,All public Utilities,Corner lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,5,7,1954,2005,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Below Average Living Quarters,480,Low Quality,468,108,1056,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1056,0,0,1056,0,1,1,0,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,1954,Unfinished,1,260,Average/Typical,Average/Typical,Paved,390,0,0,0,0,7,2007,Warranty Deed-Conventional,Normal Sale,139400
90,Residential Low-Density,64,6979,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Old Town,Normal,Normal,Duplex,Split Foyer,6,5,1980,1980,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,1056,Unfinished,0,0,1056,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1056,0,0,1056,2,0,0,0,0,2,Average/Typical,4,Typical Functionality,0,No,Detached from home,1980,Unfinished,2,576,Average/Typical,Average/Typical,Paved,264,56,0,0,600,6,2010,Warranty Deed-Conventional,Normal Sale,144000
190,Residential High-Density,60,10896,Paved,Regular,Banked,All public Utilities,Inside lot,Gentle slope,South & West of Iowa State University,Adjacent to feeder street,Normal,2fmCon,Two and one-half story: 2nd level finished,6,7,1914,1995,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Fair,Average/Typical,Cinder Block,Typical (80-89 inches),Fair-dampness or some cracking or settling,No Exposure,Low Quality,256,Unfinished,0,1184,1440,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1440,1440,515,3395,0,0,2,0,8,2,Fair,14,Typical Functionality,0,No,No,1978,No,0,0,No,No,Dirt/Gravel,0,110,0,0,0,3,2007,Warranty Deed-Conventional,"Abnormal Sale-trade, foreclosure, short sale",200000
30,Residential Medium Density,51,6120,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Brookside,Normal,Normal,Single-family Detached,One story,2,3,1936,1950,Gable,Standard (Composite) Shingle,Asbestos Shingles,Asbestos Shingles,None,0,Fair,Fair,Brick & Tile,Typical (80-89 inches),Fair-dampness or some cracking or settling,No Exposure,Unfinished,0,Unfinished,0,264,264,Gravity furnace,Fair,No,Fuse Box over 60 AMP and all Romex wiring (Average),800,0,0,800,0,0,1,0,1,1,Fair,4,Major Deductions 1,1,Poor-Ben Franklin Stove,No,1978,No,0,0,No,No,Dirt/Gravel,0,0,0,0,0,1,2009,Contract Low Down payment and low interest,Normal Sale,60000
190,Residential Medium Density,50,6000,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Old Town,Normal,Normal,2fmCon,One and one-half story: 2nd level finished,5,4,1954,1954,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,811,811,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),811,576,0,1387,0,0,2,0,3,2,Good,7,Typical Functionality,0,No,Built-In (Garage part of the house-typically has room above the garage),1954,Unfinished,1,256,Average/Typical,Average/Typical,Paved,0,0,0,0,0,11,2009,Warranty Deed-Conventional,Normal Sale,93000
30,Residential Low-Density,67,8777,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Edwards,Adjacent to feeder street,Normal,Single-family Detached,One story,5,7,1910,1950,Gable,Standard (Composite) Shingle,Metal Siding,Wood Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Fair (70-79 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,796,796,Gas forced warm air furnace,Good,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),796,0,0,796,0,0,1,0,2,1,Average/Typical,4,Typical Functionality,0,No,No,1978,No,0,0,No,No,Partial Pavement,328,0,164,0,0,5,2008,Warranty Deed-Conventional,Normal Sale,85000
120,Residential Low-Density,53,3982,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Bloomington Heights,Normal,Normal,Townhouse End Unit,One story,8,5,2006,2006,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Good,Average Exposure,Good Living Quarters,1154,Unfinished,0,366,1520,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1567,0,0,1567,1,0,2,0,1,1,Excellent,7,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2006,Finished,3,648,Average/Typical,Average/Typical,Paved,312,0,0,0,0,10,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),264561
120,Residential Low-Density,62,12677,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Townhouse End Unit,One story,8,5,2003,2004,Hip,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,472,Excellent,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical-slight dampness allowed,Good Exposure,Good Living Quarters,1218,Unfinished,0,300,1518,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1518,0,0,1518,0,0,1,1,1,1,Excellent,6,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2003,Rough Finished,2,588,Average/Typical,Average/Typical,Paved,185,140,0,0,0,4,2008,Warranty Deed-Conventional,Normal Sale,274000
60,Floating Village Residential,0,7050,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,Two-story,7,5,2001,2001,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,738,Unfinished,0,319,1057,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1057,872,0,1929,1,0,2,1,3,1,Good,7,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2001,Finished,2,650,Average/Typical,Average/Typical,Paved,0,235,0,0,0,5,2007,Warranty Deed-Conventional,Normal Sale,226000
80,Residential Low-Density,75,13860,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,Split Level,8,7,1972,1995,Gable,Standard (Composite) Shingle,Plywood,Wood Siding,None,0,Good,Average/Typical,Cinder Block,Good (90-99 inches),Typical-slight dampness allowed,Good Exposure,Good Living Quarters,1410,Unfinished,0,542,1952,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,2000,704,0,2704,1,0,2,1,4,1,Excellent,9,Typical Functionality,3,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1972,Finished,2,538,Average/Typical,Average/Typical,Paved,269,111,0,0,0,7,2009,Warranty Deed-Conventional,Normal Sale,345000
60,Residential Low-Density,80,10793,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Northwest Ames,Adjacent to North-South Railroad,Normal,Single-family Detached,Two-story,5,5,1969,1969,Mansard,Standard (Composite) Shingle,Wood Shingles,Hard Board,Brick Face,263,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Average Rec Room,493,Below Average Living Quarters,287,0,780,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,780,840,0,1620,0,0,2,1,4,1,Average/Typical,7,Minor Deductions 1,0,No,Attached to the home,1969,Finished,2,462,Average/Typical,Average/Typical,Paved,208,0,0,0,0,4,2007,Warranty Deed-Conventional,Normal Sale,152000
20,Floating Village Residential,85,9187,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,One story,9,5,2009,2009,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,Stone,162,Excellent,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical-slight dampness allowed,Mimimum Exposure,Good Living Quarters,1121,Unfinished,0,645,1766,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1766,0,0,1766,1,0,2,1,2,1,Excellent,7,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2009,Finished,3,478,Average/Typical,Average/Typical,Paved,195,130,0,0,0,10,2009,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),370878
20,Residential Low-Density,0,10530,Paved,Slightly irregular,Level,All public Utilities,Corner lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,6,5,1971,1971,Hip,Standard (Composite) Shingle,Plywood,Plywood,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Average Living Quarters,282,Low Quality,35,664,981,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,981,0,0,981,1,0,1,1,3,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,1979,Unfinished,2,576,Average/Typical,Average/Typical,Paved,0,312,40,0,0,3,2007,Warranty Deed-Conventional,Normal Sale,143250
20,Residential Low-Density,60,7200,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,5,5,1950,1950,Hip,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0,Average/Typical,Average/Typical,Cinder Block,No,No,No Exposure,No,0,No,0,0,0,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1048,0,0,1048,0,0,1,0,3,1,Average/Typical,7,Minor Deductions 1,0,No,Detached from home,1950,Unfinished,2,420,Average/Typical,Average/Typical,Paved,0,27,0,0,0,7,2008,Warranty Deed-Conventional,Normal Sale,98300
20,Residential Low-Density,85,10452,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Edwards,Normal,Normal,Single-family Detached,One story,6,5,1953,1953,Hip,Standard (Composite) Shingle,Wood Siding,Wood Siding,Stone,216,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,Mimimum Exposure,Average Rec Room,500,Unfinished,0,594,1094,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1094,0,0,1094,0,0,1,0,3,1,Average/Typical,5,Typical Functionality,2,Good-Masonry Fireplace on the main level,Attached to the home,1953,Rough Finished,2,495,Average/Typical,Average/Typical,Paved,0,0,0,0,0,6,2008,Warranty Deed-Conventional,Normal Sale,155000
60,Residential Low-Density,70,7700,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,"Near positive off-site feature--park, greenbelt, etc.",Normal,Single-family Detached,Two-story,6,5,1966,1966,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,351,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,756,756,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1051,788,0,1839,0,0,1,1,4,1,Average/Typical,7,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1966,Unfinished,2,442,Average/Typical,Average/Typical,Paved,0,124,216,0,0,6,2010,Warranty Deed-Conventional,Normal Sale,155000
180,Residential Medium Density,21,1936,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Meadow Village,Normal,Normal,Twnhs,Split Foyer,4,6,1970,1970,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,None,0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical-slight dampness allowed,Average Exposure,Below Average Living Quarters,131,Good Living Quarters,499,0,630,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,630,0,0,630,1,0,1,0,1,1,Average/Typical,3,Typical Functionality,0,No,No,1978,No,0,0,No,No,Paved,0,0,0,0,0,12,2007,Warranty Deed-Conventional,Normal Sale,84500
60,Floating Village Residential,65,8125,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,Two-story,7,6,2007,2007,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,None,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,813,813,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,822,843,0,1665,0,0,2,1,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2007,Rough Finished,2,562,Average/Typical,Average/Typical,Paved,0,0,0,0,0,5,2008,Warranty Deed-Conventional,Normal Sale,205950
70,Residential Low-Density,60,9084,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Edwards,Adjacent to arterial street,Normal,Single-family Detached,Two-story,4,5,1940,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,Mimimum Exposure,Unfinished,0,Unfinished,0,755,755,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,755,755,0,1510,1,0,1,0,4,1,Average/Typical,7,Typical Functionality,1,Good-Masonry Fireplace on the main level,Detached from home,1940,Unfinished,1,296,Fair,Poor,Partial Pavement,120,0,0,0,0,10,2009,Warranty Deed-Conventional,Normal Sale,108000
60,Residential Low-Density,70,8750,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,Two-story,7,5,1996,1996,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,880,880,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,909,807,0,1716,0,0,2,1,2,1,Good,7,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1996,Rough Finished,2,512,Average/Typical,Average/Typical,Paved,0,120,0,0,0,7,2009,Warranty Deed-Conventional,Normal Sale,191000
50,Residential Medium Density,60,10320,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,6,7,1906,1995,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,756,756,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,756,713,0,1469,0,0,1,0,3,1,Average/Typical,7,Typical Functionality,0,No,Detached from home,1906,Unfinished,1,216,Average/Typical,Average/Typical,Paved,57,0,239,0,0,6,2008,Warranty Deed-Conventional,Normal Sale,135000
20,Residential Low-Density,91,10437,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Northridge,Normal,Normal,Single-family Detached,One story,8,6,1995,1995,Hip,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,660,Good,Good,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,Good Exposure,Good Living Quarters,1696,Unfinished,0,413,2109,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2113,0,0,2113,1,0,2,1,2,1,Good,7,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1995,Finished,3,839,Average/Typical,Average/Typical,Paved,236,46,0,0,0,8,2008,Warranty Deed-Conventional,Normal Sale,350000
160,Residential Medium Density,21,1680,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Briardale,Normal,Normal,Twnhs,Two-story,6,5,1971,1971,Gable,Standard (Composite) Shingle,Hard Board,Imitation Stucco,Brick Face,381,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,525,525,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,525,567,0,1092,0,0,1,1,3,1,Average/Typical,6,Typical Functionality,0,No,Detached from home,1971,Unfinished,1,264,Average/Typical,Average/Typical,Paved,0,0,0,0,0,3,2010,Warranty Deed-Conventional,Sale between family members,88000
20,Residential Low-Density,72,10007,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,5,7,1959,2006,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,54,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Average Living Quarters,806,Unfinished,0,247,1053,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1053,0,0,1053,1,0,1,1,3,1,Good,5,Typical Functionality,0,No,Attached to the home,1959,Rough Finished,1,312,Average/Typical,Average/Typical,Paved,0,0,0,0,0,8,2008,Warranty Deed-Conventional,Normal Sale,145500
70,Residential Low-Density,60,7200,Paved,Regular,Hillside,All public Utilities,Inside lot,Moderate slope,Crawford,Normal,Normal,Single-family Detached,Two-story,7,6,1931,2000,Gable,Standard (Composite) Shingle,Stucco,Wd Shng,None,0,Average/Typical,Fair,Brick & Tile,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,776,776,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,851,651,0,1502,0,0,1,1,3,1,Average/Typical,6,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,1931,Rough Finished,1,270,Average/Typical,Average/Typical,Partial Pavement,0,0,112,0,0,2,2008,Warranty Deed-Conventional,Normal Sale,149000
50,Residential Low-Density,78,17503,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Adjacent to arterial street,Normal,Single-family Detached,One and one-half story: 2nd level finished,6,5,1948,1950,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,912,912,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,912,546,0,1458,0,1,1,0,3,1,Average/Typical,6,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,1948,Unfinished,1,330,Average/Typical,Average/Typical,Paved,192,0,0,0,0,1,2010,Warranty Deed-Conventional,"Abnormal Sale-trade, foreclosure, short sale",97500
